OBJECTID,LIEN_WWW
"254",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=6926
"255",https://ge.ch/terextraitfoncier/rapport.aspx?commune=26&parcelle=148
"256",https://ge.ch/terextraitfoncier/rapport.aspx?commune=26&parcelle=1968
"257",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=4051
"258",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=4071
"259",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=2711
"260",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=5655
"261",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=3057
"262",https://ge.ch/terextraitfoncier/rapport.aspx?commune=37&parcelle=2172
"263",https://ge.ch/terextraitfoncier/rapport.aspx?commune=37&parcelle=2173
"264",https://ge.ch/terextraitfoncier/rapport.aspx?commune=37&parcelle=2174
"265",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=3205
"266",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=1656
"267",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=2097
"268",https://ge.ch/terextraitfoncier/rapport.aspx?commune=24&parcelle=2981
"269",https://ge.ch/terextraitfoncier/rapport.aspx?commune=48&parcelle=5362
"270",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=2621
"271",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=2712
"272",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=419
"273",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=2497
"274",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=4403
"275",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=2492
"276",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=3016
"277",https://ge.ch/terextraitfoncier/rapport.aspx?commune=26&parcelle=1063
"278",https://ge.ch/terextraitfoncier/rapport.aspx?commune=24&parcelle=2996
"279",https://ge.ch/terextraitfoncier/rapport.aspx?commune=24&parcelle=2999
"280",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=4820
"281",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5546
"282",https://ge.ch/terextraitfoncier/rapport.aspx?commune=42&parcelle=10439
"283",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4902
"284",https://ge.ch/terextraitfoncier/rapport.aspx?commune=42&parcelle=10311
"285",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4267
"286",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5203
"287",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=447
"288",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=3347
"289",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=3780
"290",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=7076
"291",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5354
"292",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=3911
"293",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5427
"294",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5029
"295",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5031
"296",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=7191
"297",https://ge.ch/terextraitfoncier/rapport.aspx?commune=48&parcelle=5355
"298",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=6796
